C青沥备开喊(谰搁悼),青沥备开喊(谰搁悼),C楷飞喊,楷飞喊,矫痢,醚牢备(疙),醚牢备_巢磊(疙),醚牢备_咯磊(疙),醚牢备_己厚,郴惫牢(疙),郴惫牢_巢磊(疙),郴惫牢_咯磊(疙),郴惫牢_己厚
'00,傈惫,'000,钦拌,2019,51779203,25952070,25827133,100.5,50000285,24934662,25065623,99.5
'00,傈惫,'005,0~4技,2019,1881548,965211,916337,105.3,1841730,944850,896880,105.3
'00,傈惫,'005001, 0技,2019,311988,160253,151735,105.6,305221,156770,148451,105.6
'00,傈惫,'005002, 1技,2019,338085,173663,164422,105.6,330199,169587,160612,105.6
'00,傈惫,'005003, 2技,2019,370324,190316,180008,105.7,361757,185961,175796,105.8
'00,傈惫,'005004, 3技,2019,420211,214942,205269,104.7,411248,210376,200872,104.7
'00,傈惫,'005005, 4技,2019,440940,226037,214903,105.2,433305,222156,211149,105.2
'00,傈惫,'010,5~9技,2019,2276617,1168966,1107651,105.5,2251185,1156094,1095091,105.6
'00,傈惫,'010001, 5技,2019,435405,222928,212477,104.9,428790,219583,209207,105
'00,傈惫,'010002, 6技,2019,440443,225515,214928,104.9,434852,222749,212103,105
'00,傈惫,'010003, 7技,2019,478152,245603,232549,105.6,472902,242974,229928,105.7
'00,傈惫,'010004, 8技,2019,470751,241858,228893,105.7,466543,239680,226863,105.6
'00,傈惫,'010005, 9技,2019,451866,233062,218804,106.5,448098,231108,216990,106.5
'00,傈惫,'015,10~14技,2019,2234015,1152447,1081568,106.6,2219036,1144862,1074174,106.6
'00,傈惫,'015001, 10技,2019,437398,225446,211952,106.4,433893,223672,210221,106.4
'00,傈惫,'015002, 11技,2019,461579,237412,224167,105.9,458245,235678,222567,105.9
'00,傈惫,'015003, 12技,2019,473043,243515,229528,106.1,470031,242012,228019,106.1
'00,傈惫,'015004, 13技,2019,434062,224673,209389,107.3,431496,223377,208119,107.3
'00,傈惫,'015005, 14技,2019,427933,221401,206532,107.2,425371,220123,205248,107.2
